"MODULE_CD"|"COL_NM"|"COL_KOR_NM"|"FORMAT_DC"|"COLSIZE_VR"|"RCODE_DC"|"KEY_VAL_YN"|"COL_SQ"|"TABLE_ID"|"TABLE_NM"
AQ|APRVL_ST|승인상태|VARCHAR2|"5"|||5|AQ_CONTRACT_HST|계약히스토리
AQ|AUDF_SUPP_AMT|감사보수추가금액|NUMBER|"19,4"|||11|AQ_CONTRACT_HST|계약히스토리
AQ|AUDF_TOT_AMT|감사보수총금액|NUMBER|"19,4"|||10|AQ_CONTRACT_HST|계약히스토리
AQ|CAUDF_SUPP_AMT|연결감사보수추가금액|NUMBER|"19,4"|||13|AQ_CONTRACT_HST|계약히스토리
AQ|CAUDF_TOT_AMT|연결감사보수총액|NUMBER|"19,4"|||12|AQ_CONTRACT_HST|계약히스토리
AQ|CHGE_DT|변경일|VARCHAR2|"8"|||6|AQ_CONTRACT_HST|계약히스토리
AQ|COMPANY_CD|회사코드|VARCHAR2|"7"||Y|1|AQ_CONTRACT_HST|계약히스토리
AQ|CONT_NO|계약번호|VARCHAR2|"20"||Y|2|AQ_CONTRACT_HST|계약히스토리
AQ|DEPT_CD|부서코드|VARCHAR2|"20"|||8|AQ_CONTRACT_HST|계약히스토리
AQ|FG_CD|구분코드|VARCHAR2|"5"||Y|3|AQ_CONTRACT_HST|계약히스토리
AQ|INSERT_DTS|등록일시|DATE||||17|AQ_CONTRACT_HST|계약히스토리
AQ|INSERT_ID|등록ID|VARCHAR2|"30"|||14|AQ_CONTRACT_HST|계약히스토리
AQ|INSERT_IP|등록IP|VARCHAR2|"200"|||15|AQ_CONTRACT_HST|계약히스토리
AQ|INSERT_MCADDR_NM|등록맥어드레스명|VARCHAR2|"200"|||16|AQ_CONTRACT_HST|계약히스토리
AQ|MDIR_EMP_NO|담당이사사원번호|VARCHAR2|"20"|||7|AQ_CONTRACT_HST|계약히스토리
AQ|PARTNER_NM|거래처명|VARCHAR2|"150"|||9|AQ_CONTRACT_HST|계약히스토리
AQ|SEQ_NO|일련번호|VARCHAR2|"20"||Y|4|AQ_CONTRACT_HST|계약히스토리
AQ|UPDATE_DTS|수정일시|DATE||||21|AQ_CONTRACT_HST|계약히스토리
AQ|UPDATE_ID|수정ID|VARCHAR2|"30"|||18|AQ_CONTRACT_HST|계약히스토리
AQ|UPDATE_IP|수정IP|VARCHAR2|"200"|||19|AQ_CONTRACT_HST|계약히스토리
AQ|UPDATE_MCADDR_NM|수정맥어드레스명|VARCHAR2|"200"|||20|AQ_CONTRACT_HST|계약히스토리
AQ|AUDF_ACCT_CD|감사보수계정코드|VARCHAR2|"20"|||4|AQ_SALE_ACCT_MST|
AQ|AUDF_FEOTH_ACCT_CD|감사보수상대계정코드|VARCHAR2|"20"|||5|AQ_SALE_ACCT_MST|
AQ|CAUDF_ACCT_CD|연결감사보수계정코드|VARCHAR2|"20"|||6|AQ_SALE_ACCT_MST|
AQ|CAUDF_FEOTH_ACCT_CD|연결감사보수상대계정코드|VARCHAR2|"20"|||7|AQ_SALE_ACCT_MST|
AQ|COMPANY_CD|회사코드|VARCHAR2|"7"||Y|1|AQ_SALE_ACCT_MST|
AQ|CONT_DTL_TP|계약상세유형|VARCHAR2|"5"||Y|3|AQ_SALE_ACCT_MST|
AQ|CONT_TP|계약유형|VARCHAR2|"3"||Y|2|AQ_SALE_ACCT_MST|
AQ|INSERT_DTS|등록일시|DATE||||15|AQ_SALE_ACCT_MST|
AQ|INSERT_ID|등록ID|VARCHAR2|"30"|||12|AQ_SALE_ACCT_MST|
AQ|INSERT_IP|등록IP|VARCHAR2|"200"|||13|AQ_SALE_ACCT_MST|
AQ|INSERT_MCADDR_NM|등록맥어드레스명|VARCHAR2|"200"|||14|AQ_SALE_ACCT_MST|
AQ|RMK_DC|비고내역|VARCHAR2|"200"|||11|AQ_SALE_ACCT_MST|
AQ|SUPP_ACCT_CD|추가계정코드|VARCHAR2|"20"|||8|AQ_SALE_ACCT_MST|
AQ|SUPP_FEOTH_ACCT_CD|추가상대계정코드|VARCHAR2|"20"|||9|AQ_SALE_ACCT_MST|
AQ|UPDATE_DTS|수정일시|DATE||||19|AQ_SALE_ACCT_MST|
AQ|UPDATE_ID|수정ID|VARCHAR2|"30"|||16|AQ_SALE_ACCT_MST|
AQ|UPDATE_IP|수정IP|VARCHAR2|"200"|||17|AQ_SALE_ACCT_MST|
AQ|UPDATE_MCADDR_NM|수정맥어드레스명|VARCHAR2|"200"|||18|AQ_SALE_ACCT_MST|
AQ|VAT_ACCT_CD|부가세계정코드|VARCHAR2|"20"|||10|AQ_SALE_ACCT_MST|
AQ|ATHZ_RPTS_CD|결재상신코드|VARCHAR2|"50"|||27|AQ_SALE_MST|매출마스터
AQ|AUDF_NOTE_DC|감사보수적요내역|VARCHAR2|"200"|||10|AQ_SALE_MST|매출마스터
AQ|AUDF_SPPRC_AMT|감사보수공급가액|NUMBER|"19,4"|||7|AQ_SALE_MST|매출마스터
AQ|AUDF_TAX_AMT|감사보수세금금액|NUMBER|"19,4"|||8|AQ_SALE_MST|매출마스터
AQ|AUDF_UNCMNY_AMT|감사보수미수금금액|NUMBER|"19,4"|||9|AQ_SALE_MST|매출마스터
AQ|BILL_DT|매출일|VARCHAR2|"8"|||4|AQ_SALE_MST|매출마스터
AQ|BIZAREA_CD|사업장코드|VARCHAR2|"7"|||19|AQ_SALE_MST|매출마스터
AQ|CAUDF_NOTE_DC|연결감사보수적요내역|VARCHAR2|"200"|||14|AQ_SALE_MST|매출마스터
AQ|CAUDF_SPPRC_AMT|연결감사보수공급가액|NUMBER|"19,4"|||11|AQ_SALE_MST|매출마스터
AQ|CAUDF_TAX_AMT|연결감사보수세금금액|NUMBER|"19,4"|||12|AQ_SALE_MST|매출마스터
AQ|CAUDF_UNCMNY_AMT|연결감사보수미수금금액|NUMBER|"19,4"|||13|AQ_SALE_MST|매출마스터
AQ|CC_CD|비용센터코드|VARCHAR2|"20"|||20|AQ_SALE_MST|매출마스터
AQ|COMPANY_CD|회사코드|VARCHAR2|"7"||Y|1|AQ_SALE_MST|매출마스터
AQ|CONN_YN|연결여부|VARCHAR2|"1"|||24|AQ_SALE_MST|매출마스터
AQ|CONT_NO|계약번호|VARCHAR2|"20"||Y|2|AQ_SALE_MST|매출마스터
AQ|DOCU_NO|전표번호|VARCHAR2|"20"|||6|AQ_SALE_MST|매출마스터
AQ|GWAPRVLST_CD|그룹웨어결재상태코드|VARCHAR2|"5"|||26|AQ_SALE_MST|매출마스터
AQ|GWDOCU_NO|그룹웨어결재문서번호|VARCHAR2|"50"|||28|AQ_SALE_MST|매출마스터
AQ|INSERT_DTS|등록일시|DATE||||32|AQ_SALE_MST|매출마스터
AQ|INSERT_ID|등록ID|VARCHAR2|"30"|||29|AQ_SALE_MST|매출마스터
AQ|INSERT_IP|등록IP|VARCHAR2|"200"|||30|AQ_SALE_MST|매출마스터
AQ|INSERT_MCADDR_NM|등록맥어드레스명|VARCHAR2|"200"|||31|AQ_SALE_MST|매출마스터
AQ|NO_SQ|번호순번|NUMBER|"5,0"||Y|3|AQ_SALE_MST|매출마스터
AQ|PARTNER_CD|거래처코드|VARCHAR2|"20"|||5|AQ_SALE_MST|매출마스터
AQ|SUPP_NOTE_DC|추가적요내역|VARCHAR2|"200"|||18|AQ_SALE_MST|매출마스터
AQ|SUPP_SPPRC_AMT|추가공급가액|NUMBER|"19,4"|||15|AQ_SALE_MST|매출마스터
AQ|SUPP_TAX_AMT|추가과세금액|NUMBER|"19,4"|||16|AQ_SALE_MST|매출마스터
